,A,B,C,D,E
0,22,35,3,13,57
1,18,70,78,32,88
2,22,1,31,84,23
3,61,33,55,0,94
4,57,38,49,44,95
5,36,36,95,28,72
6,77,90,14,87,167
7,94,65,6,90,159
8,92,49,58,17,141
9,66,85,99,62,151
10,28,9,7,2,37
11,67,44,90,97,111
12,91,50,88,58,141
13,52,95,42,56,147
14,88,99,88,16,187
15,56,7,20,71,63
16,3,72,26,16,75
17,11,28,55,27,39
18,73,57,39,68,130
19,89,12,43,59,101
20,50,52,59,63,102
21,25,16,92,9,41
22,88,33,79,19,121
23,54,57,0,51,111
24,73,58,23,55,131
25,4,36,32,88,40
26,46,11,92,0,57
27,79,6,91,51,85
28,31,40,36,81,71
29,90,36,67,80,126
30,96,51,3,35,147
31,93,71,0,7,164
32,54,22,94,58,76
33,65,43,48,43,108
34,0,85,56,25,85
35,15,56,67,60,71
36,66,32,35,99,98
37,0,0,77,43,0
38,56,51,69,58,107
39,38,99,30,37,137
40,24,80,37,26,104
41,46,62,46,85,108
42,21,63,3,75,84
43,75,14,94,28,89
44,78,61,50,94,139
45,48,54,74,49,102
46,74,86,69,2,160
47,75,32,94,56,107
48,23,57,47,90,80
49,83,44,7,0,127
50,92,33,84,33,125
51,0,2,96,30,2
52,32,59,52,82,91
53,82,18,38,44,100
54,60,73,36,29,133
55,1,53,51,15,54
56,51,40,83,74,91
57,52,5,30,11,57
58,37,27,41,4,64
59,4,11,89,30,15
60,36,44,65,7,80
61,57,20,94,59,77
62,95,36,44,69,131
63,26,74,15,85,100
64,89,79,71,39,168
65,46,88,14,23,134
66,60,95,77,32,155
67,93,4,39,80,97
68,73,97,65,74,170
69,17,47,34,11,64
70,62,65,18,44,127
71,76,8,19,79,84
72,36,70,95,55,106
73,16,82,54,45,98
74,98,82,4,73,180
75,64,32,83,47,96
76,81,12,78,65,93
77,20,81,91,72,101
78,81,0,52,60,81
79,74,17,95,49,91
80,47,48,24,86,95
81,71,77,33,39,148
82,78,73,69,61,151
83,98,89,82,22,187
84,19,90,82,63,109
85,33,78,89,14,111
86,69,74,34,80,143
87,92,17,32,43,109
88,66,13,0,97,79
89,66,60,61,0,126
90,82,53,16,15,135
91,16,60,61,25,76
92,17,59,4,29,76
93,52,70,51,48,122
94,53,98,31,79,151
95,61,24,64,54,85
96,1,13,25,37,14
97,91,97,83,72,188
98,1,6,4,58,7
99,61,84,55,15,145
